rowid,Text,SurveyRating,FeedbackType,Platform,OCVSource,Category,SubCategory,FeatureMentioned,Existing Feature
3215,convenient,5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
3217,"I was able to submit my vacation time as expected, but it would have been great to see the ?time subject to forfeiture? hours on the time off submission widget (instead of only being visible in the Payroll widget).",4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Time-Off,Yes
3218,"I really like the direction of this app, but I wish I could input individual hours for vacation and sick leave, and I wish I could see the full paycheck details.",4,Feature Survey,Android,Floodgate,Enhancement Request,UI,"Time-Off, Paystub",Yes
3224,It will be great to bring other internal applications to my hub,4,Feature Survey,Android,Floodgate,Enhancement Request,UI,,
3238,It's so handy ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3239,App requires more Polishing. at times app is stuck at fingerprint login and needs to be restarted. Also some information is visible during app switching which kind of defeats the purpose of authentication.,4,Feature Survey,Android,Floodgate,Issue,"Reliability/Stability, Access",,
3268,"It has worked as expected, the IU is exceptional ",5,Feature Survey,iOS,Floodgate,Appreciation,UI,,
3271,wish i could pull up insurance cards,4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,,
3301,"Should read, ?employee received an inclusive Kudos? instead of a inclusive Kudos, due to grammar rules. ",NULL,Frown,iOS,Send-A-Smile,Issue,UI,Kudos,Yes
3316,very nicely designed app. all important stuff easily accessible.,5,Feature Survey,Android,Floodgate,Appreciation,UI,,
3327,"Report on vacation balance, sick balance would be nice. ",5,Feature Survey,iOS,Floodgate,Enhancement Request,UI,,
3334,Great functions if they work. seems to be not available more than available,3,Feature Survey,Android,Floodgate,Issue,Reliability/Stability,,
3336,it's great! a bit slow to load otherwise I've found it very helpful.,4,Feature Survey,Android,Floodgate,Enhancement Request,Performance,,
3340,The pop up of the app not working should be more clear on how to fix,4,Feature Survey,iOS,Floodgate,Issue,Reliability/Stability,,
3341,unfortunately can't make good use of a number of features since we are currently working from home. ask me again once we are back to the office.,4,Feature Survey,Android,Floodgate,Critique,Other,,
3353,Really nice looking app,NULL,Smile,Android,Send-A-Smile,Appreciation,UI,,
3358,Please show how much is subject to expire. ,NULL,Frown,Android,Send-A-Smile,Enhancement Request,UI,Time-Off,Yes
3372,"Explore , cafe , connector is redundant at this time . Should be taken out .  Thanks button to perspectives takes to Kudos outside of app, would be nice to have that open Kudos in the app .  Overall the app has great design , easy to use . Would love to see personalization .",4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,"Explore, Cafe, Connector, Kudos",Yes
3378,"I like the app. On the vacation page, I would love to see both the total vacation that will be accrued by the end of the year, as well as the total remaining for the year.",4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Time-Off,Yes
3386,"Easy to use, lots of info available. Benefits integration would be awesome.",5,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Benefits,No
